link,text,user,likes,quotes,retweets,comments
https://twitter.com/ImranKhanPTI/status/403945879083970560#m,"Dharti Hamari, Marzi Hamari. Our Land, Our Way, Our Say. Time to save our Pakistan by bringing peace and unity.",Imran Khan,21162,245,9782,383
https://twitter.com/pakistan_untold/status/1817115208185430487#m,"""...Hatred against Hindus in Pakistan is running so deep now that we are at the point of no return, and due to that, peace with India is impossible...""  - Syed Muzammil, Pak Journalist",Pakistan Untold,481,1,234,4
https://twitter.com/LoverCrick79813/status/1817186055868612850#m,But Pakistan Ke Pass Sirf Zimbabar Hai 😂. 5 Wickets Hone Ke Baad Agar Itna Pel Sakte Hain To Sochkar Dekh Crawley Ne Jo Bola 600+ In A Single Day Me Karne Ko To Woh Directly Pakistani Pitches Par Hi Bola Hai 😜,Cricket Lover,0,0,0,0
https://twitter.com/MrSinha_/status/1816679057490055639#m,"Whenever I remember #KargilWar, it reminds me how Barkha Dutt helped Pakistan to track the live location of Indian army personnel in the name of reporting. We lost so many soldiers due to it. The tragedy is, she got away with her sins & is still roaming free!  #KargilVijayDiwas",Mr Sinha,37823,319,11919,1367
https://twitter.com/SRKNation2023/status/1817186045714485663#m,ICC Champions Trophy 2025 in Pakistan will outshine T20 World Cup 2024 claims former Pakistan captain  https://srknation.in/index.php/2024/07/26/icc-champions-trophy-2025-in-pakistan-will-outshine-t20-world-cup-2024-claims-former-pakistan-captain/,SRK Nation,0,0,0,0
https://twitter.com/SaBaRh02/status/1817186035299746267#m,مطلب آپ گوگل کو فالو کرتے ہوئے وہاں پہنچ بھی گئے 😱 شاباش 👍 یہ ہوتی ہے لگن 👏👏,💚🇵🇰محب وطن🇵🇰 💚Pakistan Zindabad 🇵🇰,0,0,0,0
https://twitter.com/FrontalForce/status/1817069388484268450#m,BIG BREAKING- Confirmation coming in that 1 Pak SSG Commando has been killed by Indian Army while foiling BAT attack in Kupwara.  Pak made arms & ammunition recovered. This is declaration of war by Pakistan.,Frontalforce 🇮🇳,1909,9,378,47
https://twitter.com/PakStartup/status/1816908843030372687#m,"Karachi, Pakistan has been named the world’s second riskiest city by Forbes Advisor.   #Karachi #ForbesAdvisor #WorldsRiskiestCities #UrbanSafety #GlobalRisk",Startup Pakistan,217,7,38,11
https://twitter.com/Gohar_Ejaz1/status/1817116392086212859#m,We are moving to Supreme Court 240 million People of Pakistan vs 40 IPP owners.May Allah SWT Bless us with Success Inshallah. ہم قوم کی جانب سے 40 آئی پی پیز کے مالکان کے خلاف سپریم کورٹ میں مقدمہ دائر کرنے جا رہے ہیں۔ دعا ہے کہ اللہ تعالی ہمیں اس کوشش میں کامیابی عطا فرمائے اور انصاف کے حصول میں ہماری مدد کرے۔۔ #Allah #Pakistan #Awam #Economy #IPPs,Dr Gohar Ejaz,4265,102,1284,437
https://twitter.com/JournoMirror/status/1816712510336315601#m,पाकिस्तान ने इजराइली प्रधानमंत्री बेंजामिन नेतन्याहू को 'आतंकवादी' घोषित किया.  #BenjaminNetanyahu #Pakistan #Israel,Journo Mirror,5732,23,1322,243
https://twitter.com/Jam__Baloch/status/1817183227448009158#m,"The scenes from Mastung are heartbreaking, The Pakistan Army attacked the peaceful participants of #BalochNationalGathering. Two participants have lost their lives, and four others are critically injured. 💔",Jamal Baloch,32,3,15,1
https://twitter.com/PakistanFauj/status/1817174216770191734#m,"Captain Muhammad Sarwar Shaheed, Nishan-e-Haider (NH),  Today, the Armed Forces of #Pakistan, CJCSC and Services Chiefs pay homage on his 76th Shahadat Anniversary.  #PakistanArmy #COAS #ISPR  His courage, steadfast determination and resilience will never be forgotten.   The first recipient of Nishan-e-Haider, Captain Muhammad Sarwar who embraced Shahadat in 1948 at Tilpatra (Azad Kashmir), showed unwavering fortitude and heroism in defence of the motherland.  The anniversary of Captain Muhammad Sarwar Shaheed martyrdom reminds us of the sacrifices made by the Armed Forces of Pakistan.   Let us remember these brave sons of the soil who sacrificed their lives to protect our motherland",Pakistan Armed Forces News 🇵🇰,57,0,42,20
https://twitter.com/Vairitamil/status/1817186011845451831#m,#HiddenHistory #UnitedBengalPlan #BengalPartition #India #Pakistan https://indianexpress.com/article/research/a-third-dominion-how-the-plans-for-a-united-bengal-fell-through-7264511/,Vairitamil🏌🏻‍♂️,0,0,0,0
https://twitter.com/la_phenicienne_/status/1817186007302766677#m,"4 millions de musulmans civils innocent tués par vos cheres democratie occidentale, syrie, irak, afghanistan, somalie, liban, lybie, palestine, bosnie, kosovo, pakistan, ouighours, royingas, musulmans au kashmir et j'en passe vous en parlez quand de ceux la connard ?",israa 🇨🇵🇲🇦🇱🇧,0,0,0,0
https://twitter.com/Durre_fishanss/status/1817186006786875609#m,😂😂😂😂  They can’t beat Pakistan in terms of beauty.....,Durrayy 🍉✨🇵🇸,0,0,0,0
https://twitter.com/HRCPakistan/status/1817186005448802485#m,نوشہرو فیروز پولیس اسٹیشن پر بیبی صوبیہ بطول کی دونوں ٹانگیں کاٹنے کا کیس بل آخر 6 جوابداروں پر داخل ہو گیا 1 گرفتار 5 مفرور   ہیومن راٸٹس کاونسل سندھ ڈسٹرکٹ نوشہرو فیروز کے رہنما ایڈووکیٹ عبدالکریم تگڑ نے ایس ایس پی نوشہرو فیروز سے ملزماں کو فوری طور پر گرفتار کرنے کا مطالبہ کرتے ہوئے بیبی صوبیا کا کیس لڑنے کا اعلان کیا,Human Rights Council of Pakistan,0,0,0,0
https://twitter.com/Imamofpeace/status/1817153594900009287#m,Pakistan arrests senior al-Qaeda terrorist v.aa.com.tr/3279878,Imam of Peace,122,1,22,6
